slice,category,count,f1,precision,recall,roc_auc,pr_auc,brier
function,<missing>,780,0.9180327868852459,1.0,0.8484848484848485,0.9970589428420753,0.9513499525461249,0.006602871863104841
function,Administrative,111,0.8823529411764706,0.9375,0.8333333333333334,0.995221027479092,0.9690586419753087,0.023200734063595237
function,Business Development,34,1.0,1.0,1.0,1.0,1.0,6.928388943842598e-05
function,Customer Service,153,0.8,1.0,0.6666666666666666,0.9837470449172577,0.8652375201288245,0.02615216012345981
function,Design,62,0.0,0.0,0.0,1.0,1.0,0.009690829431420876
function,Engineering,226,0.8695652173913043,1.0,0.7692307692307693,0.9973076923076923,0.9759167114936346,0.016389534363331657
function,Health Care Provider,53,0.0,0.0,0.0,,0.0,0.022956703579977582
function,Human Resources,40,1.0,1.0,1.0,1.0,1.0,4.265550487267971e-05
function,Information Technology,294,0.4,1.0,0.25,0.8435344827586206,0.5475190076030412,0.008716735126942309
function,Management,52,0.0,0.0,0.0,1.0,1.0,0.01163690727859772
function,Marketing,146,1.0,1.0,1.0,0.9999999999999999,1.0,0.00012478411462371085
function,Not Mentioned,717,0.6666666666666666,0.8260869565217391,0.5588235294117647,0.9473128929463439,0.6880248745158399,0.023037678361253477
function,Other,56,0.6666666666666666,1.0,0.5,0.9907407407407406,0.75,0.016551477924153086
function,Sales,254,0.8,0.8,0.8,0.9899598393574297,0.8500000000000001,0.011351846629615298
